# MOVING OBJECTS:
ObjectID FileID Flags x y "R.A. (J2000)" Decl. Flux FluxErr Background Mag MagErr FWHM Elongation "Sky Motion"
1 0 0 228.2048 39.7524 10:36:30.222384 +15:35:20.9976 344530.000 1503.148 5939.690 -13.8431 0.0047 4.23 1.059 0.75
1 1 0 232.8137 37.2482 10:36:30.028008 +15:35:22.5294 286049.600 1164.809 4881.219 -13.6411 0.0044 4.33 1.036 0.75
1 2 0 234.0489 36.7314 10:36:29.975616 +15:35:22.94196 286908.800 1319.525 4906.903 -13.6444 0.0050 4.20 1.081 0.75
1 3 2 235.3518 35.9178 10:36:29.918352 +15:35:23.39052 293739.800 1228.510 4921.609 -13.6699 0.0045 4.15 1.030 0.75
1 4 2 236.4714 35.3195 10:36:29.863752 +15:35:23.82252 292768.100 1334.224 4941.482 -13.6663 0.0049 4.29 1.060 0.75
1 6 3 239.3932 33.7548 10:36:29.73816 +15:35:24.90828 298174.200 1353.974 4977.315 -13.6862 0.0049 4.54 1.057 0.75
2 0 0 1219.7266 1205.3027 10:35:47.673072 +15:23:20.40108 198101.400 1230.735 6353.831 -13.2422 0.0067 3.52 1.198 0.57
2 1 0 1223.7103 1203.8508 10:35:47.503224 +15:23:21.291 156547.300 876.802 5200.943 -12.9866 0.0061 3.60 1.174 0.57
2 2 0 1224.7919 1203.4465 10:35:47.459592 +15:23:21.543 153383.900 955.305 5230.051 -12.9644 0.0068 3.41 1.033 0.57
2 3 0 1225.9236 1203.0414 10:35:47.410776 +15:23:21.82848 154403.500 880.491 5248.010 -12.9716 0.0062 3.23 1.029 0.57
2 4 0 1227.0632 1202.6309 10:35:47.360808 +15:23:22.07652 153411.000 952.073 5266.512 -12.9646 0.0067 3.45 1.066 0.57
2 6 0 1229.6143 1201.6537 10:35:47.256648 +15:23:22.69032 148968.600 941.642 5301.382 -12.9327 0.0069 3.83 1.055 0.57
5 3 0 1992.8866 2007.1490 10:35:14.55792 +15:15:04.44276 11263.740 794.246 4872.316 -10.1292 0.0766 3.52 1.264 0.69
5 4 0 1994.6296 2006.6360 10:35:14.485944 +15:15:04.70232 18928.440 1065.621 4889.704 -10.6928 0.0611 5.54 1.493 0.69
5 6 0 1998.0173 2005.7655 10:35:14.34972 +15:15:05.16852 13260.330 717.257 4918.187 -10.3064 0.0587 3.21 1.673 0.69
# UNCERTAIN OBJECTS:
ObjectID FileID Flags x y "R.A. (J2000)" Decl. Flux FluxErr Background Mag MagErr FWHM Elongation "Sky Motion"
3 1 0 2010.8829 63.7762 10:35:13.834584 +15:35:07.5984 28066.040 1032.716 4871.107 -11.1205 0.0400 4.98 1.626 0.00
3 4 0 2005.6055 57.8060 10:35:14.055816 +15:35:11.22612 13209.140 739.672 4929.255 -10.3022 0.0608 3.43 1.716 0.00
3 6 0 2010.8829 63.7762 10:35:13.834584 +15:35:07.5984 28066.040 1032.716 4871.107 -11.1205 0.0400 4.98 1.626 0.00
4 1 0 1980.5077 68.4976 10:35:15.136056 +15:35:04.66368 11246.930 644.838 4892.937 -10.1276 0.0623 2.92 1.025 0.00
4 4 0 1978.7803 68.5907 10:35:15.205008 +15:35:04.54128 13338.030 761.153 4954.460 -10.3127 0.0620 3.44 1.686 0.00
4 6 0 1980.5077 68.4976 10:35:15.136056 +15:35:04.66368 11246.930 644.838 4892.937 -10.1276 0.0623 2.92 1.025 0.00
